query,clicks,impressions,ctr,position
iq5494-001,1,1,1,4
tatum5,1,2,0.5,6
コンバース 2faced,1,4,0.25,19.5
ジョーダンホーキンス,1,32,0.0312,8.0
テイタム５,1,6,0.1667,10
ペイロールカップ,1,83,0.012,8.9
濱田誉,1,5,0.2,4.6
2faced le low,0,3,0,18.7
2faced low,0,5,0,14.2
2faced mid,0,2,0,9.5
2faced コンバース,0,3,0,20.3
2フェイスド コンバース,0,1,0,11
air jordan 1 royal 2026,0,2,0,16.5
air jordan 12 retro idols become rivals,0,1,0,11
anker ヴェルカ,0,1,0,11
basketball zine,0,1,0,22
bリーグ 配信,0,1,0,106
converse 2faced,0,4,0,26.2
his bリーグ,0,1,0,26
https//www.espn.com/nba/story/_/id/49854792/milwaukee-bucks-offseason-recap-2026-27-season-preview-stats-roster-depth-chart,0,20,0,4.0
iw2872-700,0,6,0,6.8
j balvin lemonade,0,1,0,5
nba,0,1,0,1
nbaカップ,0,2,0,8
wnba コミッショナー,0,5,0,5
ykkap アリーナ 八村,0,1,0,70
アメントンプソン,0,1,0,31
アメン・トンプソン,0,2,0,19
アンダー アーマー フォックス 3,0,1,0,11
アンダーアーマー fox3,0,4,0,7.8
アンダーアーマー フォックス3,0,5,0,11
エネオス バスケ 女子,0,1,0,62
エネオスバスケ女子,0,1,0,57
キャシー・エンゲルバート,0,13,0,5.8
クリスのバスケ日記,0,3,0,17.7
クリスのバスケ日記 高校,0,1,0,46
コンバース 2フェイス,0,3,0,6.3
コンバース ツーフェイス,0,1,0,15
シクサーズ アリーナ,0,1,0,2
シクサーズ ホームアリーナ,0,2,0,5.5
シックステン,0,2,0,3.5
ジャレン・スキート,0,6,0,7.8
ジョーダン・ホーキンス,0,2,0,6.5
テイタム,0,1,0,26
テイタム 5,0,8,0,8.9
テイタム 5 いつ,0,2,0,9.5
テイタム5,0,71,0,10.1
テイタム5いつ,0,8,0,10.2
テイタムシリーズ,0,1,0,5
デローザン ナゲッツ,0,1,0,26
バスケ,0,1,0,57
バスケの日 奈良,0,1,0,8
バスケットボール,0,6,0,60.8
バスケ速報,0,1,0,51
バッシュ ニュース,0,2,0,9
バッシュ 最新,0,2,0,37.5
バッシュテイタム5,0,1,0,10
バッシュニュース,0,3,0,7
バッシュ新作,0,1,0,38
パティ ミルズ,0,2,0,3
パティ・ミルズ,0,7,0,8.4
パティーミルズ,0,3,0,6
パトリックミルズ,0,1,0,4
ペレ・ラーソン,0,2,0,8
ポッドキャスト バスケットボール,0,3,0,26
マイケルスウィートニー,0,1,0,3
マイケル・スウィートニー,0,4,0,10.2
ラッカーパーク,0,23,0,8.9
ラッカーパーク ニューヨーク,0,17,0,9.5
ラッセル ウェスト ブルック,0,2,0,48.5
ヴェルカ アンカー,0,1,0,22
八村塁 黒部,0,1,0,32
濱田誉 バスケ,0,1,0,19
濵田 誉,0,2,0,9
濵田誉,0,2,0,6.5
片桐章光,0,1,0,21
男子 バスケ,0,1,0,56
米田時生,0,13,0,7.7
葉田道場,0,1,0,11
藤田 弘輝,0,1,0,48
豊福ジャン,0,1,0,9
